"","x"
"157",0.872332645347342
"158",0.544973760610446
"159",0.316555858822539
"160",0.0905182163696736
"161",0.762986950809136
"162",0.883422800339758
"163",0.269602395128459
"164",0.415713164955378
"165",0.613489223876968
"166",0.783862113952637
"167",0.730229245033115
"168",0.415057841222733
"169",0.0358285924885422
"170",0.323431170545518
"171",0.11599585833028
"172",0.640061631565914
"173",0.30266454606317
"174",0.921121476916596
"175",0.78119003935717
"176",0.436899461317807
"177",0.430377950426191
"178",0.00524888094514608
"179",0.508337670937181
"180",0.0654012367594987
"181",0.898059042636305
"182",0.0494912406429648
"183",0.211139123653993
"184",0.624220055062324
"185",0.957635779632255
"186",0.47329476242885
"187",0.897996346233413
"188",0.854362022131681
"189",0.533096877159551
"190",0.166344846598804
"191",0.236798461293802
"192",0.298247506376356
"193",0.591148476814851
"194",0.867542024003342
"195",0.125956801231951
"196",0.835754213156179
"197",0.63623164058663
"198",0.526973402826115
"199",0.0575915025547147
"200",0.645153219811618
"201",0.480714317644015
"202",0.381272206315771
"203",0.902899762848392
"204",0.935472634853795
"205",0.765936963027343
"206",0.426447602221742
"207",0.0280276467092335
"208",0.0633842148818076
"209",0.853516407310963
"210",0.359776058699936
"211",0.149918207433075
"212",0.66774456994608
"213",0.897383681265637
"214",0.582074152305722
"215",0.940282672178
"216",0.0548131037503481
"217",0.455689392983913
"218",0.279048623749986
"219",0.0504534400533885
"220",0.258464019512758
"221",0.824890892021358
"222",0.702928649727255
"223",0.304708250565454
"224",0.96731180860661
"225",0.348283080849797
"226",0.435891880420968
"227",0.702328668208793
"228",0.234504957916215
"229",0.464444531360641
"230",0.408240005839616
"231",0.545291676651686
"232",0.0209238831885159
"233",0.257923916447908
"234",0.468363014515489
"235",0.803912700153887
"236",0.891471387818456
"237",0.702831138158217
"238",0.0521213794127107
"239",0.866600613575429
"240",0.610028213588521
"241",0.51328648859635
"242",0.28212863067165
"243",0.315914117265493
"244",0.388084124075249
"245",0.120317721040919
"246",0.719395890366286
"247",0.818751731421798
"248",0.555449849227443
"249",0.858868880430236
"250",0.347204832592979
"251",0.518772930372506
"252",0.591679781442508
"253",0.976472188485786
"254",0.411250701406971
"255",0.252865102374926
"256",0.850231367861852
"257",0.823945294367149
"258",0.878140113782138
"259",0.438777266303077
"260",0.218428725842386
"261",0.863520256476477
"262",0.898185802390799
"263",0.521721233380958
"264",0.212366644060239
"265",0.830602758098394
"266",0.95183523488231
"267",0.250759785994887
"268",0.0172723634168506
"269",0.39678897941485
"270",0.437458647415042
"271",0.89365270244889
"272",0.452059076167643
"273",0.52352839987725
"274",0.897210843395442
"275",0.673496355069801
"276",0.668291274923831
"277",0.429984947200865
"278",0.419679565122351
"279",0.773581686895341
"280",0.930758678819984
"281",0.452600108925253
"282",0.284319619415328
"283",0.914620208088309
"284",0.993116353871301
"285",0.214476523455232
"286",0.266703052213416
"287",0.264718076214194
"288",0.85311911907047
"289",0.562810850329697
"290",0.043617736781016
"291",0.892822560854256
"292",0.726294916588813
"293",0.938192884204909
"294",0.386477947700769
"295",0.21623220317997
"296",0.667481020558625
"297",0.786808006465435
"298",0.959847545949742
"299",0.802156687248498
"300",0.321816911455244
"301",0.347730957670137
"302",0.126122687477618
"303",0.161215804051608
"304",0.604766244068742
"305",0.0568876415491104
"306",0.629202242475003
"307",0.498032573843375
"308",0.705700485734269
"309",0.204527896130458
"310",0.354542372748256
"311",0.235919416183606
"312",0.0520825271960348
"313",0.51307619176805
"314",0.652795857051387
"315",0.231678409967571
"316",0.208355000941083
"317",0.725167687982321
"318",0.0819617554079741
"319",0.159597907448187
"320",0.559538905508816
"321",0.0701978025026619
"322",0.967204174492508
"323",0.90062704635784
"324",0.98558464483358
"325",0.129737866576761
"326",0.631377780577168
"327",0.204271985217929
"328",0.975389730418101
"329",0.0183068297337741
"330",0.92521285568364
"331",0.517417811090127
"332",0.597604801412672
"333",0.921294278930873
"334",0.265093879075721
"335",0.695487129036337
"336",0.870604913216084
"337",0.405029906425625
"338",0.0245392438955605
"339",0.703046056441963
"340",0.196540536824614
"341",0.818827403709292
"342",0.227298042504117
"343",0.141387922456488
"344",0.0608956629876047
"345",0.743048587115481
"346",0.388134776847437
"347",0.90730378869921
"348",0.452038067393005
"349",0.687305775471032
"350",0.60892899800092
"351",0.181011015316471
"352",0.696327676996589
"353",0.911214912543073
"354",0.564301362261176
"355",0.313544737873599
"356",0.77835204731673
"357",0.345354411751032
"358",0.500285796821117
"359",0.110403045546263
"360",0.78230897244066
"361",0.155976373236626
"362",0.588410921394825
"363",0.736324488185346
"364",0.691991169704124
"365",0.367380699375644
"366",0.488073544576764
"367",0.776415056549013
"368",0.173106347676367
"369",0.204458246007562
"370",0.0862045409157872
"371",0.946878088638186
"372",0.750023717992008
"373",0.84616359253414
"374",0.96484269737266
"375",0.302381812362
"376",0.279699395643547
"377",0.289872187422588
"378",0.715603236341849
"379",0.588412570301443
"380",0.478154676733539
"381",0.451364055508748
"382",0.224555462133139
"383",0.650211092084646
"384",0.211796727031469
"385",0.142367745982483
"386",0.618250150233507
"387",0.378497708588839
"388",0.748914123279974
"389",0.614027259871364
"390",0.807619388215244
"391",0.430058447876945
"392",0.905818783212453
"393",0.184704672079533
"394",0.370440171565861
"395",0.0651767279487103
"396",0.109797712182626
"397",0.359962236136198
"398",0.911065205000341
"399",0.61753499484621
"400",0.618014620384201
